YEAR,DOY,HOUR,MINUTE,MAGNETOPAUSE(MP)/BOW Shock(BS),,X KSM(Rs),Y KSM(Rs),Z KSM(Rs)
2005,74,0,1,BS,Inbound,7.79,-36.88,3.19
2005,74,2,42,BS,Inbound,8.09,-37.13,3.31
2005,74,3,46,BS,Inbound,8.22,-37.23,3.36
2005,74,7,11,BS,Inbound,8.61,-37.53,3.52
2005,74,12,1,BS,Inbound,9.15,-37.93,3.74
2005,74,0,50,BS,Outbound,7.9,-36.97,3.23
2005,74,3,19,BS,Outbound,8.17,-37.19,3.34
2005,74,5,38,BS,Outbound,8.43,-37.4,3.45
2005,74,10,17,BS,Outbound,8.96,-37.79,3.66
2005,74,15,12,BS,Outbound,9.5,-38.17,3.88
2005,75,2,49,BS,Inbound,10.76,-38.94,4.39
2005,75,2,29,BS,Outbound,10.72,-38.92,4.38
2005,75,22,7,BS,Outbound,12.74,-39.84,5.19
2005,76,1,53,BS,Inbound,13.11,-39.96,5.34
2005,76,8,31,BS,Outbound,13.74,-40.14,5.6
2005,77,23,8,BS,Inbound,17.09,-40.19,6.95
2005,78,8,21,BS,Inbound,17.8,-39.97,7.24
2005,78,2,35,BS,Outbound,17.36,-40.12,7.06
2005,79,8,17,BS,Inbound,19.45,-38.99,7.9
2005,79,14,40,BS,Inbound,19.84,-38.64,8.05
2005,79,2,11,BS,Outbound,19.05,-39.3,7.74
2005,79,9,20,BS,Outbound,19.51,-38.94,7.92
2005,79,17,23,BS,Outbound,20,-38.47,8.12
2005,84,5,19,BS,Inbound,22.57,-25.72,9.12
2005,84,13,33,BS,Outbound,22.36,-24.2,9.03
2005,86,0,15,BS,Inbound,20.39,-16.71,8.22
2005,86,5,26,BS,Inbound,19.91,-15.41,8.03
2005,86,9,3,BS,Inbound,19.54,-14.49,7.87
2005,86,2,36,BS,Outbound,20.18,-16.13,8.14
2005,86,7,2,BS,Outbound,19.75,-15.01,7.96
2005,87,1,24,MP,Inbound,17.38,-9.96,7
2005,87,2,30,MP,Inbound,17.21,-9.64,6.93
2005,87,4,4,MP,Inbound,16.94,-9.17,6.82
2005,87,13,6,MP,Inbound,15.18,-6.34,6.11
2005,87,1,35,MP,Outbound,17.36,-9.91,6.99
2005,87,3,20,MP,Outbound,17.07,-9.39,6.87
2005,87,4,23,MP,Outbound,16.89,-9.07,6.8
2005,87,12,55,MP,Outbound,15.22,-6.4,6.12
2005,100,10,8,MP,Inbound,16.21,-28.72,3.61
2005,100,7,36,MP,Outbound,16.15,-29.11,3.59
2005,100,11,0,MP,Outbound,16.23,-28.59,3.62
2005,102,2,40,BS,Inbound,16.14,-20.84,3.75
2005,102,15,31,BS,Inbound,15.56,-17.56,3.66
2005,102,22,7,BS,Inbound,15.1,-15.69,3.58
2005,102,0,16,BS,Outbound,16.21,-21.4,3.75
2005,102,10,38,BS,Outbound,15.82,-18.87,3.7
2005,102,21,15,BS,Outbound,15.17,-15.96,3.59
2005,103,1,9,BS,Inbound,14.85,-14.8,3.53
2005,103,8,42,MP,Inbound,14.08,-12.42,3.39
2005,103,0,27,BS,Outbound,14.9,-15,3.55
2005,107,18,12,MP,Outbound,-0.35,-26.38,-1.74
2005,109,20,59,MP,Inbound,6.63,-34.19,-2.2
2005,109,22,25,MP,Outbound,6.82,-34.33,-2.2
2005,110,0,10,MP,Inbound,7.04,-34.5,-2.21
2005,110,2,12,MP,Inbound,7.3,-34.68,-2.22
2005,110,19,0,BS,Inbound,9.4,-35.93,-2.29
2005,110,1,25,MP,Outbound,7.2,-34.61,-2.22
2005,110,9,50,MP,Outbound,8.27,-35.33,-2.26
2005,110,18,39,BS,Outbound,9.35,-35.91,-2.29
2005,111,8,47,BS,Inbound,11.04,-36.66,-2.33
2005,111,1,25,BS,Outbound,10.17,-36.31,-2.31
2005,111,10,46,BS,Outbound,11.26,-36.74,-2.33
2005,114,4,22,BS,Inbound,17.75,-36.47,-2.28
2005,114,8,28,BS,Inbound,18.08,-36.27,-2.26
2005,114,21,52,BS,Inbound,19.08,-35.48,-2.2
2005,114,5,43,BS,Outbound,17.86,-36.41,-2.27
2005,114,12,47,BS,Outbound,18.42,-36.04,-2.24
2005,116,10,10,BS,Inbound,21.18,-32.27,-1.98
2005,116,8,9,BS,Outbound,21.09,-32.49,-2
2005,117,18,40,MP,Inbound,22.17,-28.02,-1.7
2005,117,19,45,MP,Outbound,22.18,-27.86,-1.69
2005,119,6,19,MP,Inbound,21.87,-21.62,-1.28
2005,119,12,10,MP,Inbound,21.64,-20.38,-1.2
2005,119,19,44,MP,Inbound,21.26,-18.69,-1.1
2005,119,6,47,MP,Outbound,21.85,-21.53,-1.27
2005,119,12,20,MP,Outbound,21.64,-20.35,-1.2
2005,120,7,38,MP,Inbound,20.41,-15.8,-0.92
2005,120,12,38,MP,Inbound,19.95,-14.51,-0.84
2005,120,9,11,MP,Outbound,20.23,-15.29,-0.89
2005,121,11,10,MP,Inbound,16.76,-7.94,-0.44
2005,121,8,15,MP,Outbound,17.3,-8.87,-0.5
2005,126,18,37,MP,Inbound,2.07,-30.21,-2
2005,126,19,17,MP,Inbound,2.15,-30.32,-2
