RING PLANE CROSSING ,,,,,
Seq  = Cassini planning sequence,,,,,
 Rev = revolution - defined from apoapse to apoapse,,,,,
"Rs = 60,268 km",,,,,
Seq,Rev,Event,Epoch (SCET),Date,Range(Rs)
S02,0,Ascending Ring Crossing,2004-183T00:47,1-Jul,2.628
S02,0,Descending Ring Crossing,2004-183T04:34,1-Jul,2.632
S05,A,Ascending Ring Crossing,2004-300T16:53,26-Oct,19.506
S05,A,Descending Ring Crossing,2004-302T20:01,28-Oct,8.082
S06,B,Ascending Ring Crossing,2004-348T14:58,13-Dec,18.86
S06,B,Descending Ring Crossing,2004-350T11:03,15-Dec,5.75
S07,C,Ascending Ring Crossing,2005-014T17:05,14-Jan,18.36
S07,C,Descending Ring Crossing,2005-016T11:58,16-Jan,5.905
S08,3,Ascending Ring Crossing,2005-048T00:50,17-Feb,3.499
S08,3,Descending Ring Crossing,2005-057T04:25,26-Feb,43.975
S09,4,Ascending Ring Crossing,2005-068T10:48,9-Mar,3.559
S09,4,Descending Ring Crossing,2005-073T16:46,14-Mar,36.913
S09,5,Ascending Ring Crossing,2005-088T22:59,29-Mar,3.531
S09,5,Descending Ring Crossing,2005-090T22:07,31-Mar,21.276
S10,6,Ascending Ring Crossing,2005-104T22:16,14-Apr,2.734
S10,6,Descending Ring Crossing,2005-106T19:58,16-Apr,20.89
S10,7,Ascending Ring Crossing,2005-122T23:36,2-May,3.895
S10,7,Descending Ring Crossing,2005-125T02:07,5-May,21.422
S11,8,Ascending Ring Crossing,2005-141T03:54,21-May,3.903
S11,8,Descending Ring Crossing,2005-143T05:45,23-May,21.229
S11,9,Ascending Ring Crossing,2005-159T08:26,8-Jun,3.914
S11,9,Descending Ring Crossing,2005-161T09:08,10-Jun,20.903
S12,10,Ascending Ring Crossing,2005-177T13:29,26-Jun,3.934
S12,10,Descending Ring Crossing,2005-179T13:44,28-Jun,20.762
S12,11,Ascending Ring Crossing,2005-195T19:56,14-Jul,3.947
S12,11,Descending Ring Crossing,2005-197T19:43,16-Jul,20.63
S13,12,Ascending Ring Crossing,2005-214T03:33,2-Aug,3.948
S13,12,Descending Ring Crossing,2005-216T02:39,4-Aug,20.428
S13,13,Ascending Ring Crossing,2005-232T09:00,20-Aug,3.93
S13,13,Descending Ring Crossing,2005-234T07:31,22-Aug,20.27
S14,14,Ascending Ring Crossing,2005-248T10:39,5-Sep,2.928
S14,14,Descending Ring Crossing,2005-250T06:46,7-Sep,20.226
S14,15,Ascending Ring Crossing,2005-266T17:11,23-Sep,4.514
S14,15,Descending Ring Crossing,2005-267T07:27,24-Sep,7.445
S15,16,Ascending Ring Crossing,2005-284T20:38,11-Oct,4.766
S15,16,Descending Ring Crossing,2005-285T09:57,12-Oct,6.687
S15,17,Ascending Ring Crossing,2005-302T21:25,29-Oct,4.699
S15,17,Descending Ring Crossing,2005-309T17:18,5-Nov,44.355
S16,18,Ascending Ring Crossing,2005-331T09:18,27-Nov,4.761
S16,18,Descending Ring Crossing,2005-336T04:53,2-Dec,36.636
S17,19,Ascending Ring Crossing,2005-358T19:19,24-Dec,4.76
S17,19,Descending Ring Crossing,2005-363T22:02,29-Dec,37.052
S17,20,Ascending Ring Crossing,2006-017T06:24,17-Jan,5.59
S18,20,Descending Ring Crossing,2006-033T09:30,2-Feb,66.721
S18,21,Ascending Ring Crossing,2006-056T10:21,25-Feb,5.587
S19,22,Descending Ring Crossing,2006-071T15:21,12-Mar,45.45
S19,22,Ascending Ring Crossing,2006-079T22:43,20-Mar,5.691
S20,23,Descending Ring Crossing,2006-112T15:50,22-Apr,45.166
S20,23,Ascending Ring Crossing,2006-119T02:43,29-Apr,5.702
S20,24,Descending Ring Crossing,2006-140T05:31,20-May,22.703
S20,24,Ascending Ring Crossing,2006-142T15:14,22-May,6.538
S21,25,Descending Ring Crossing,2006-180T01:39,29-Jun,17.569
S21,25,Ascending Ring Crossing,2006-181T20:54,30-Jun,7.051
S22,26,Descending Ring Crossing,2006-203T02:36,22-Jul,20.126
S22,26,Ascending Ring Crossing,2006-205T01:15,24-Jul,4.773
S22,27,Descending Ring Crossing,2006-227T02:13,15-Aug,19.96
S22,27,Ascending Ring Crossing,2006-229T00:21,17-Aug,4.766
S23,28,Descending Ring Crossing,2006-250T21:22,7-Sep,20.463
S23,28,Ascending Ring Crossing,2006-252T19:06,9-Sep,3.162
S24,29,Descending Ring Crossing,2006-266T19:55,23-Sep,20.534
S24,29,Ascending Ring Crossing,2006-268T22:19,25-Sep,4.35
S24,30,Descending Ring Crossing,2006-282T18:09,9-Oct,20.615
S24,30,Ascending Ring Crossing,2006-285T04:14,12-Oct,6.184
S25,31,Descending Ring Crossing,2006-298T16:20,25-Oct,20.688
S25,31,Ascending Ring Crossing,2006-301T03:09,28-Oct,4.972
S25,32,Descending Ring Crossing,2006-310T15:56,6-Nov,20.721
S25,32,Ascending Ring Crossing,2006-313T02:59,9-Nov,4.977
S25,33,Descending Ring Crossing,2006-322T15:10,18-Nov,20.669
S25,33,Ascending Ring Crossing,2006-325T02:01,21-Nov,4.969
S26,34,Descending Ring Crossing,2006-334T13:45,30-Nov,20.673
S26,34,Ascending Ring Crossing,2006-337T00:37,3-Dec,4.97
S26,35,Descending Ring Crossing,2006-346T12:10,12-Dec,20.713
S26,35,Ascending Ring Crossing,2006-349T10:35,15-Dec,8.802
S26,36,Descending Ring Crossing,2006-362T10:30,28-Dec,20.686
S26,36,Ascending Ring Crossing,2006-365T23:56,31-Dec,11.605
S27,37,Descending Ring Crossing,2007-013T08:58,13-Jan,20.714
S27,37,Ascending Ring Crossing,2007-017T21:01,17-Jan,14.867
S27,38,Descending Ring Crossing,2007-029T07:38,29-Jan,20.708
S27,38,Ascending Ring Crossing,2007-035T01:08,4-Feb,19.612
S27,39,Descending Ring Crossing,2007-047T09:46,16-Feb,20.677
S28,39,Ascending Ring Crossing,2007-053T03:18,22-Feb,19.654
S28,40,Descending Ring Crossing,2007-064T21:02,5-Mar,14.993
S28,40,Ascending Ring Crossing,2007-069T01:55,10-Mar,19.657
S28,41,Descending Ring Crossing,2007-081T15:45,22-Mar,11.823
S28,41,Ascending Ring Crossing,2007-085T00:28,26-Mar,19.661
S29,42,Descending Ring Crossing,2007-098T04:57,8-Apr,8.954
S29,42,Ascending Ring Crossing,2007-100T23:01,10-Apr,19.666
S29,43,Descending Ring Crossing,2007-114T13:53,24-Apr,6.57
S29,43,Ascending Ring Crossing,2007-116T21:35,26-Apr,19.67
S30,44,Descending Ring Crossing,2007-130T19:31,10-May,4.757
S30,44,Ascending Ring Crossing,2007-132T20:11,12-May,19.674
S30,45,Descending Ring Crossing,2007-146T22:41,26-May,3.508
S30,45,Ascending Ring Crossing,2007-148T18:36,28-May,19.59
S31,46,Descending Ring Crossing,2007-162T23:30,11-Jun,2.938
S31,46,Ascending Ring Crossing,2007-164T17:43,13-Jun,19.665
S31,47,Descending Ring Crossing,2007-179T00:01,28-Jun,2.584
S31,47,Ascending Ring Crossing,2007-183T14:32,2-Jul,35.583
S32,48,Descending Ring Crossing,2007-201T15:01,20-Jul,6.257
S32,48,Ascending Ring Crossing,2007-204T04:09,23-Jul,24.108
S33,49,Descending Ring Crossing,2007-241T07:23,29-Aug,6.301
S34,50,Ascending Ring Crossing,2007-273T06:06,30-Sep,5.776
S34,50,Descending Ring Crossing,2007-274T22:50,1-Oct,17.69
S34,50,Ascending Ring Crossing,2007-275T15:08,2-Oct,22.856
S34,51,Descending Ring Crossing,2007-297T05:28,24-Oct,4.184
S34,51,Ascending Ring Crossing,2007-299T10:28,26-Oct,22.606
S35,52,Descending Ring Crossing,2007-321T05:21,17-Nov,4.191
S35,52,Ascending Ring Crossing,2007-323T04:36,19-Nov,20.832
S35,53,Descending Ring Crossing,2007-337T06:42,3-Dec,2.672
S35,53,Ascending Ring Crossing,2007-339T02:17,5-Dec,20.329
S36,54,Descending Ring Crossing,2007-353T03:35,19-Dec,3.241
S36,54,Ascending Ring Crossing,2007-355T00:15,21-Dec,20.062
S36,55,Descending Ring Crossing,2008-003T22:05,3-Jan,4.361
S36,55,Ascending Ring Crossing,2008-005T22:21,5-Jan,19.934
S36,56,Descending Ring Crossing,2008-015T21:04,15-Jan,3.451
S36,56,Ascending Ring Crossing,2008-017T21:15,17-Jan,19.825
S37,57,Descending Ring Crossing,2008-027T19:14,27-Jan,3.452
S37,57,Ascending Ring Crossing,2008-029T19:10,29-Jan,19.764
S37,58,Descending Ring Crossing,2008-039T17:52,8-Feb,3.461
S37,58,Ascending Ring Crossing,2008-041T19:03,10-Feb,20.073
S38,59,Descending Ring Crossing,2008-051T17:51,20-Feb,3.459
S38,59,Ascending Ring Crossing,2008-053T18:22,22-Feb,19.908
S38,60,Descending Ring Crossing,2008-062T03:13,2-Mar,3.943
S38,60,Ascending Ring Crossing,2008-064T08:33,4-Mar,19.987
S38,61,Descending Ring Crossing,2008-072T19:06,12-Mar,3.948
S38,61,Ascending Ring Crossing,2008-075T00:16,15-Mar,19.937
S39,62,Descending Ring Crossing,2008-083T10:20,23-Mar,3.945
S39,62,Ascending Ring Crossing,2008-085T15:10,25-Mar,19.859
S39,63,Descending Ring Crossing,2008-092T18:09,1-Apr,4.49
S39,63,Ascending Ring Crossing,2008-095T04:56,4-Apr,19.866
S39,64,Descending Ring Crossing,2008-102T08:05,11-Apr,4.493
S39,64,Ascending Ring Crossing,2008-104T18:44,13-Apr,19.83
S40,65,Descending Ring Crossing,2008-111T21:31,20-Apr,4.487
S40,65,Ascending Ring Crossing,2008-114T08:05,23-Apr,19.816
S40,66,Descending Ring Crossing,2008-121T10:44,30-Apr,4.48
S40,66,Ascending Ring Crossing,2008-123T21:15,2-May,19.816
S40,67,Descending Ring Crossing,2008-131T00:05,10-May,4.478
S40,67,Ascending Ring Crossing,2008-133T10:31,12-May,19.798
S40,68,Descending Ring Crossing,2008-138T23:04,17-May,3.27
S40,68,Ascending Ring Crossing,2008-141T09:44,20-May,19.808
S40,69,Descending Ring Crossing,2008-146T22:15,25-May,3.27
S40,69,Ascending Ring Crossing,2008-149T08:58,28-May,19.802
S41,70,Descending Ring Crossing,2008-153T22:26,1-Jun,2.731
S41,70,Ascending Ring Crossing,2008-156T12:25,4-Jun,19.836
S41,71,Descending Ring Crossing,2008-161T01:44,9-Jun,2.73
S41,71,Ascending Ring Crossing,2008-163T15:56,11-Jun,19.855
S41,72,Descending Ring Crossing,2008-168T04:50,16-Jun,2.713
S41,72,Ascending Ring Crossing,2008-170T19:09,18-Jun,19.875
S41,73,Descending Ring Crossing,2008-175T07:55,23-Jun,2.711
S41,73,Ascending Ring Crossing,2008-177T21:40,25-Jun,19.705
S41,74,Descending Ring Crossing,2008-182T08:45,30-Jun,2.708
S42,74,Ascending Ring Crossing,2008-184T22:44,2-Jul,19.728
S42,75,Descending Ring Crossing,2008-189T09:34,7-Jul,2.707
S42,75,Ascending Ring Crossing,2008-191T23:47,9-Jul,19.751
S42,76,Descending Ring Crossing,2008-196T10:23,14-Jul,2.707
S42,76,Ascending Ring Crossing,2008-199T00:52,17-Jul,19.779
S42,77,Descending Ring Crossing,2008-203T11:16,21-Jul,2.709
S42,77,Ascending Ring Crossing,2008-206T02:02,24-Jul,19.806
S42,78,Descending Ring Crossing,2008-210T12:14,28-Jul,2.709
S42,78,Ascending Ring Crossing,2008-213T03:01,31-Jul,19.792
S42,79,Descending Ring Crossing,2008-217T11:53,4-Aug,3.962
S42,79,Ascending Ring Crossing,2008-220T12:22,7-Aug,19.783
S43,80,Descending Ring Crossing,2008-224T21:06,11-Aug,3.961
S43,80,Ascending Ring Crossing,2008-227T21:32,14-Aug,19.758
S43,81,Descending Ring Crossing,2008-232T05:47,19-Aug,3.935
S43,81,Ascending Ring Crossing,2008-235T06:08,22-Aug,19.763
S43,82,Descending Ring Crossing,2008-239T14:34,26-Aug,3.973
S43,82,Ascending Ring Crossing,2008-242T15:19,29-Aug,19.774
S43,83,Descending Ring Crossing,2008-246T23:29,2-Sep,3.966
S43,83,Ascending Ring Crossing,2008-250T00:17,6-Sep,19.779
S43,84,Descending Ring Crossing,2008-254T08:21,10-Sep,3.963
S43,84,Ascending Ring Crossing,2008-257T09:14,13-Sep,19.782
S44,85,Descending Ring Crossing,2008-261T17:11,17-Sep,3.962
S44,85,Ascending Ring Crossing,2008-264T18:10,20-Sep,19.79
S44,86,Descending Ring Crossing,2008-269T02:00,25-Sep,3.963
S44,86,Ascending Ring Crossing,2008-272T03:06,28-Sep,19.795
S44,87,Descending Ring Crossing,2008-276T10:51,2-Oct,3.964
S44,87,Ascending Ring Crossing,2008-279T11:51,5-Oct,19.753
S44,88,Descending Ring Crossing,2008-283T19:07,9-Oct,3.964
S44,88,Ascending Ring Crossing,2008-286T20:06,12-Oct,19.731
S44,89,Descending Ring Crossing,2008-291T03:01,17-Oct,3.956
S45,89,Ascending Ring Crossing,2008-294T03:50,20-Oct,19.665
S45,90,Descending Ring Crossing,2008-298T10:04,24-Oct,3.965
S45,90,Ascending Ring Crossing,2008-301T11:03,27-Oct,19.677
S45,91,Descending Ring Crossing,2008-305T17:15,31-Oct,3.965
S45,91,Ascending Ring Crossing,2008-308T18:08,3-Nov,19.688
S45,92,Descending Ring Crossing,2008-313T21:16,8-Nov,4.328
S45,92,Ascending Ring Crossing,2008-316T16:48,11-Nov,19.821
S45,93,Descending Ring Crossing,2008-321T21:08,16-Nov,4.333
S45,93,Ascending Ring Crossing,2008-324T16:32,19-Nov,19.787
S45,94,Descending Ring Crossing,2008-329T08:42,24-Nov,5.245
S46,94,Ascending Ring Crossing,2008-332T15:47,27-Nov,19.788
S46,95,Descending Ring Crossing,2008-337T07:58,2-Dec,5.245
S46,95,Ascending Ring Crossing,2008-340T14:57,5-Dec,19.759
S46,96,Descending Ring Crossing,2008-344T17:52,9-Dec,5.762
S46,96,Ascending Ring Crossing,2008-348T14:25,13-Dec,19.729
S46,97,Descending Ring Crossing,2008-352T17:10,17-Dec,5.768
S46,98,Ascending Ring Crossing,2008-356T13:34,21-Dec,19.713
S46,98,Descending Ring Crossing,2008-361T05:55,26-Dec,9.098
S46,99,Ascending Ring Crossing,2008-366T03:15,31-Dec,19.721
S46,99,Descending Ring Crossing,2009-004T19:44,4-Jan,9.102
S47,100,Ascending Ring Crossing,2009-009T17:05,9-Jan,19.715
S47,100,Descending Ring Crossing,2009-014T09:29,14-Jan,9.101
S47,101,Ascending Ring Crossing,2009-019T06:52,19-Jan,19.715
S47,101,Descending Ring Crossing,2009-023T23:14,23-Jan,9.103
S47,102,Ascending Ring Crossing,2009-028T20:25,28-Jan,19.663
S47,102,Descending Ring Crossing,2009-033T12:23,2-Feb,9.098
S47,102,Ascending Ring Crossing,2009-038T09:20,7-Feb,19.671
S47,103,Descending Ring Crossing,2009-044T17:37,13-Feb,13.647
S48,103,Ascending Ring Crossing,2009-050T07:52,19-Feb,19.669
S48,104,Descending Ring Crossing,2009-056T16:12,25-Feb,13.657
S48,104,Ascending Ring Crossing,2009-062T06:40,3-Mar,19.686
S48,105,Descending Ring Crossing,2009-068T15:08,9-Mar,13.659
S48,105,Ascending Ring Crossing,2009-074T05:57,15-Mar,19.737
S48,106,Descending Ring Crossing,2009-080T14:37,21-Mar,13.646
S49,107,Ascending Ring Crossing,2009-086T05:10,27-Mar,19.722
S49,108,Descending Ring Crossing,2009-094T02:10,4-Apr,20.914
S49,108,Ascending Ring Crossing,2009-101T08:57,11-Apr,19.418
S49,109,Descending Ring Crossing,2009-110T00:41,20-Apr,20.894
S49,109,Ascending Ring Crossing,2009-116T10:43,26-Apr,18.663
S50,110,Descending Ring Crossing,2009-125T23:13,5-May,20.877
S50,110,Ascending Ring Crossing,2009-131T12:48,11-May,17.32
S50,111,Descending Ring Crossing,2009-141T21:47,21-May,20.819
S50,111,Ascending Ring Crossing,2009-146T07:02,26-May,14.4
S50,112,Descending Ring Crossing,2009-157T20:20,6-Jun,20.799
S50,112,Ascending Ring Crossing,2009-161T08:05,10-Jun,11.214
S51,113,Descending Ring Crossing,2009-173T18:54,22-Jun,20.775
S51,113,Ascending Ring Crossing,2009-176T15:07,25-Jun,8.296
S51,114,Descending Ring Crossing,2009-189T17:28,8-Jul,20.744
S51,114,Ascending Ring Crossing,2009-192T02:58,11-Jul,5.932
S52,115,Descending Ring Crossing,2009-205T16:05,24-Jul,20.694
S52,115,Ascending Ring Crossing,2009-207T18:31,26-Jul,4.206
S52,116,Descending Ring Crossing,2009-221T14:55,9-Aug,20.579
S52,116,Ascending Ring Crossing,2009-223T12:59,11-Aug,3.131
S53,117,Descending Ring Crossing,2009-237T14:55,25-Aug,20.194
S53,117,Ascending Ring Crossing,2009-239T14:08,27-Aug,4.878
S53,118,Descending Ring Crossing,2009-261T14:49,18-Sep,20.011
S53,118,Ascending Ring Crossing,2009-263T13:28,20-Sep,4.88
S54,119,Descending Ring Crossing,2009-286T05:50,13-Oct,13.526
S54,119,Ascending Ring Crossing,2009-287T07:52,14-Oct,3.797
S54,120,Descending Ring Crossing,2009-305T15:06,1-Nov,9.244
S54,120,Ascending Ring Crossing,2009-306T08:36,2-Nov,4.355
S55,121,Descending Ring Crossing,2009-324T15:11,20-Nov,9.49
S55,121,Ascending Ring Crossing,2009-325T09:06,21-Nov,4.308
S55,122,Descending Ring Crossing,2009-343T15:27,9-Dec,9.756
S55,122,Ascending Ring Crossing,2009-344T09:49,10-Dec,4.26
S55,122,Descending Ring Crossing,2009-346T16:23,12-Dec,24.336
S56,123,Ascending Ring Crossing,2009-360T04:50,26-Dec,2.692
S56,123,Descending Ring Crossing,2009-362T02:57,28-Dec,21.038
S56,124,Ascending Ring Crossing,2010-011T01:56,11-Jan,3.21
S56,124,Descending Ring Crossing,2010-013T02:03,13-Jan,21.098
S57,125,Ascending Ring Crossing,2010-027T03:01,27-Jan,2.74
S57,125,Descending Ring Crossing,2010-028T20:30,28-Jan,19.637
S57,125,Ascending Ring Crossing,2010-032T04:15,1-Feb,35.215
S57,126,Descending Ring Crossing,2010-044T16:23,13-Feb,2.94
S57,126,Ascending Ring Crossing,2010-049T13:28,18-Feb,34.745
S58,127,Descending Ring Crossing,2010-062T01:50,3-Mar,4.372
S58,127,Ascending Ring Crossing,2010-062T15:17,3-Mar,7.13
S58,128,Descending Ring Crossing,2010-079T17:02,20-Mar,4.401
S58,128,Ascending Ring Crossing,2010-080T06:22,21-Mar,7.044
S59,129,Descending Ring Crossing,2010-097T06:00,7-Apr,5.899
S59,129,Ascending Ring Crossing,2010-097T22:32,7-Apr,7.271
S59,130,Descending Ring Crossing,2010-117T01:08,27-Apr,12.258
S59,130,Ascending Ring Crossing,2010-118T01:22,28-Apr,4.407
S60,131,Descending Ring Crossing,2010-138T04:00,18-May,4.765
S60,131,Ascending Ring Crossing,2010-139T00:09,19-May,10.122
S60,132,Descending Ring Crossing,2010-154T06:24,3-Jun,2.95
S60,132,Ascending Ring Crossing,2010-155T21:43,4-Jun,18.762
S60,132,Descending Ring Crossing,2010-158T04:40,7-Jun,30.876
S60,133,Ascending Ring Crossing,2010-170T06:28,19-Jun,2.67
S60,133,Descending Ring Crossing,2010-172T04:16,21-Jun,20.994
S61,134,Ascending Ring Crossing,2010-186T03:37,5-Jul,3.174
S61,134,Descending Ring Crossing,2010-188T03:18,7-Jul,21.057
S61,135,Ascending Ring Crossing,2010-206T01:19,25-Jul,3.719
S61,135,Descending Ring Crossing,2010-208T04:41,27-Jul,22.097
S62,136,Ascending Ring Crossing,2010-225T23:05,13-Aug,3.753
S62,136,Descending Ring Crossing,2010-228T01:05,16-Aug,21.693
S62,137,Ascending Ring Crossing,2010-245T23:38,2-Sep,3.767
S62,137,Descending Ring Crossing,2010-248T00:48,5-Sep,21.43
S63,138,Ascending Ring Crossing,2010-265T21:57,22-Sep,3.767
S63,138,Descending Ring Crossing,2010-267T23:34,24-Sep,21.622
S64,139,Ascending Ring Crossing,2010-289T14:42,16-Oct,4.647
S64,139,Descending Ring Crossing,2010-291T13:17,18-Oct,20.228
S64,140,Ascending Ring Crossing,2010-313T14:58,9-Nov,4.658
S64,140,Descending Ring Crossing,2010-315T13:00,11-Nov,20.054
S65,141,Ascending Ring Crossing,2010-334T08:42,30-Nov,3.62
S65,141,Descending Ring Crossing,2010-336T23:53,2-Dec,25.456
S65,142,Ascending Ring Crossing,2010-354T21:00,20-Dec,3.812
S65,142,Descending Ring Crossing,2010-356T03:06,22-Dec,15.278
S65,143,Ascending Ring Crossing,2011-010T13:17,10-Jan,4.155
S66,144,Descending Ring Crossing,2011-030T21:45,30-Jan,5.039
S66,144,Ascending Ring Crossing,2011-031T17:03,31-Jan,9.456
S66,145,Descending Ring Crossing,2011-051T04:34,20-Feb,7.228
S66,145,Ascending Ring Crossing,2011-052T07:20,21-Feb,10.791
S67,146,Descending Ring Crossing,2011-079T02:38,20-Mar,7.206
S67,146,Ascending Ring Crossing,2011-080T05:33,21-Mar,10.87
S67,147,Descending Ring Crossing,2011-107T00:38,17-Apr,7.21
S67,147,Ascending Ring Crossing,2011-108T03:27,18-Apr,10.827
S68,148,Descending Ring Crossing,2011-130T12:10,10-May,7.535
S68,148,Ascending Ring Crossing,2011-132T13:48,12-May,19.236
S68,149,Descending Ring Crossing,2011-169T15:23,18-Jun,7.472
S68,149,Ascending Ring Crossing,2011-171T18:00,20-Jun,19.629
S69,150,Descending Ring Crossing,2011-191T12:48,10-Jul,4.574
S69,150,Ascending Ring Crossing,2011-193T09:42,12-Jul,19.554
S69,151,Descending Ring Crossing,2011-213T05:00,1-Aug,4.584
S69,151,Ascending Ring Crossing,2011-215T01:06,3-Aug,19.312
S69,152,Descending Ring Crossing,2011-235T00:42,23-Aug,4.601
S69,152,Ascending Ring Crossing,2011-236T20:35,24-Aug,19.227
S70,153,Descending Ring Crossing,2011-256T20:28,13-Sep,3.765
S70,153,Ascending Ring Crossing,2011-258T00:55,15-Sep,14.417
S70,154,Descending Ring Crossing,2011-274T12:21,1-Oct,4.649
